location,longitude,latitude,start,end,epiUnit,eventID,animal type,outbreakNumber,species,death,cases,susceptible,killed,slaughtered,First administrative division
Komsomol'skaya,136.920542,50.590526,10/22/2022,3/5/2023,Farm,4690,domestic,108372,Birds,381314,381314,523000,141686,0,Khabarovsk
Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,4895,wild,113772,Eurasian Sparrowhawk;Indian Peafowl;Ostrich;Common Guineafowl;Mallard;Andean Condor;Greater Flamingo,4,4,73,68,0,Ciudad de la Habana
Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,4895,domestic,113772,Birds,0,0,25,14,0,Ciudad de la Habana
Havnardalur,-6.7979,61.9978,10/2/2022,11/24/2022,Backyard,4512,domestic,107598,Birds,28,0,125,12,0,Streymoyar
Skúvoy,-6.8252,61.7661,5/8/2022,5/8/2022,Other,4512,wild,104498,Great black-backed Gull;Great Skua,7,7,0,0,0,Sandoyar
Sørvágur,-7.3044,62.0704,5/8/2022,5/8/2022,Other,4512,wild,104499,Great Skua,0,1,0,1,0,Vågø
Zürich,8.542,47.374,2/23/2023,12/31/1969,Body of water,4733,wild,115972,Mute Swan,1,1,0,0,0,Zürich
Velbastaður,-6.8541,61.9826,5/20/2022,5/20/2022,Other,4512,wild,104624,Great Skua,0,1,0,1,0,Streymoyar
Murten,7.116,46.931,3/2/2023,12/31/1969,Body of water,4733,wild,115971,Black-headed Gull,1,1,0,0,0,Fribourg
Hvítanes,-6.7715,62.0448,6/17/2022,6/17/2022,Other,4512,wild,104625,Northern Gannet,1,1,0,0,0,Streymoyar
Zürich,8.539,47.382,3/7/2023,12/31/1969,Body of water,4733,wild,115970,Mute Swan,1,1,0,0,0,Zürich
Borðoyarvík,-6.5711,62.2244,9/19/2022,9/19/2022,Other,4512,wild,107588,Northern fulmar,5,5,0,0,0,Norderøerne
Krivenai,23.7545,55.1189,6/22/2022,9/28/2022,Body of water,4333,wild,104428,Black-headed Gull,50,50,0,0,0,Kauno
Zürich,8.547,47.361,3/7/2023,12/31/1969,Body of water,4733,wild,115968,Mute Swan,1,1,0,0,0,Zürich
Tórugøta,-6.7929,62.0308,9/17/2022,9/17/2022,Other,4512,wild,107590,Common Raven,1,1,0,0,0,Streymoyar
Kelmė,23.048355,55.601095,4/14/2022,4/21/2022,Body of water,4333,wild,102501,White Stork,1,1,0,0,0,Šiauliai
Castletown Rushen Isle of Man,-4.65,54.077,2/27/2023,2/27/2023,Other,4954,wild,115423,Greater White-fronted Goose,1,1,0,0,0,Isle of Man
Wädenswil,8.674,47.23,3/6/2023,12/31/1969,Body of water,4733,wild,115967,Black-headed Gull,1,1,0,0,0,Zürich
Nólsoy,-6.6721,62.0089,6/14/2022,6/14/2022,Other,4512,wild,107594,Rock Pigeon (Rock Dove),1,1,0,0,0,Streymoyar
Šiauliai,23.498745,55.906335,4/14/2022,4/21/2022,Body of water,4333,wild,102500,White Stork,2,2,0,0,0,Šiauliai
Wädenswil,8.675,47.235,3/6/2023,12/31/1969,Body of water,4733,wild,115966,Black-headed Gull,1,1,0,0,0,Zürich
Nólsoy,-6.6726,62.0093,9/18/2022,9/18/2022,Other,4512,wild,107595,Rock Pigeon (Rock Dove),1,1,0,0,0,Streymoyar
Šilutės,21.462282,55.340106,4/6/2022,4/12/2022,Body of water,4333,wild,101537,Mallard,1,1,0,0,0,Klaipedos
Thalwil,8.572,47.291,3/6/2023,12/31/1969,Other,4733,wild,115965,Black-headed Gull,1,1,0,0,0,Zürich
Skúgvoy,-6.8238,61.7652,7/21/2022,7/21/2022,Other,4512,wild,107596,Arctic Jaeger,1,1,0,0,0,Sandoyar
City,23.92879,54.87151,2/16/2022,2/21/2022,Body of water,4333,wild,98019,Mute Swan,1,1,0,0,0,Kauno
Playa El Morro,-78.73638,1.830242,3/2/2023,12/31/1969,Other,4668,wild,115797,Brown Pelican,2,2,0,0,0,Nariño
Rüschlikon,8.571,47.308,3/6/2023,12/31/1969,Body of water,4733,wild,115964,Black-headed Gull,3,3,0,0,0,Zürich
Helnabrekka,-6.5894,62.2366,9/22/2022,9/22/2022,Other,4512,wild,107593,Herring Gull,1,1,0,0,0,Norderøerne
City,23.9293,54.8781,2/8/2022,2/16/2022,Body of water,4333,wild,98017,Mute Swan,1,1,0,0,0,Kauno
Parque Nacional Natural Gorgona,-78.1731,2.96573,2/17/2023,12/31/1969,Natural park,4668,wild,115384,Brown Pelican,92,300,1000,0,0,Valle del Cauca
Vistamar,-79.94976,8.49227,3/9/2023,12/31/1969,Other,4789,wild,115724,Brown Pelican,2,2,0,0,0,Panamá Oeste
Küsnacht,8.577,47.316,3/6/2023,12/31/1969,Body of water,4733,wild,115963,Black-headed Gull,2,2,0,0,0,Zürich
Saksun,-7.1806,62.2474,6/3/2022,6/3/2022,Other,4512,wild,104628,Great Skua,1,1,0,0,0,Eysturoyar
Villa Blanca,-77.41722,1.34066,2/4/2023,12/31/1969,Backyard,4668,domestic,115383,Birds,2,2,16,14,0,Nariño
Santa Maria Belén,-80.8687,8.8822,2/2/2023,12/31/1969,Other,4789,domestic,113947,Birds,4,10,1097,1093,0,Colón
Lac de Neuchâtel,6.952,46.996,3/6/2023,12/31/1969,Body of water,4733,wild,115961,Black-headed Gull,1,1,0,0,0,Neuchâtel
Syðrugøta,-6.753,62.1859,6/10/2022,6/10/2022,Other,4512,wild,104626,Northern Gannet,1,1,0,0,0,Eysturoyar
Sorgà,10.965408,45.215765,3/5/2023,3/8/2023,Farm,4953,domestic,115373,Birds,50,50,12000,11950,0,Veneto
Mercado Potrerillo,-77.27112,1.19676,2/12/2023,12/31/1969,Backyard,4668,domestic,115382,Birds,40,40,511,471,0,Nariño
Vágur,-6.812,61.4748,5/15/2022,5/15/2022,Other,4512,wild,104631,Great Skua,1,1,0,0,0,Suðuroyar
Halwilersee,8.212,47.291,3/6/2023,12/31/1969,Body of water,4733,wild,115959,Black-headed Gull,2,2,0,0,0,Aargau
Guázaro,-81.0833,8.8061,2/13/2023,12/31/1969,Other,4789,domestic,114715,Birds,0,2,712,712,0,Veraguas
